reading,symbol,fut_net,call_net_w,put_net_w,new_net
2026-09-07_1130,DLF,39.0,-0.25,1.49,40.24
2026-09-07_1130,DMART,19.0,6.54,8.91,34.45
2026-09-07_1130,DRREDDY,24.0,4.17,2.36,30.53
2026-09-07_1130,EICHERMOT,8.0,0.96,8.11,17.07
2026-09-07_1130,ETERNAL,13.0,-1.64,6.53,17.88
2026-09-07_1130,FEDERALBNK,10.0,-1.62,11.54,19.92
2026-09-07_1130,FINNIFTY,-1.0,-0.39,0.98,-0.41
2026-09-07_1130,FORCEMOT,15.0,-1.92,1.0,14.08
2026-09-07_1130,FORTIS,10.0,-0.45,0.0,9.55
2026-09-07_1130,GAIL,27.0,7.61,1.51,36.12
2026-09-07_1130,GLENMARK,21.0,2.1,0.16,23.27
2026-09-07_1130,GMRAIRPORT,19.0,9.96,3.48,32.45
2026-09-07_1130,GODFRYPHLP,6.0,-1.04,0.0,4.96
2026-09-07_1130,GODREJCP,19.0,1.66,-0.15,20.51
2026-09-07_1130,GODREJPROP,26.0,-2.13,4.67,28.54
2026-09-07_1130,GRASIM,9.0,1.19,1.03,11.22
2026-09-07_1130,GVT&D,13.0,3.51,0.51,17.02
2026-09-07_1130,HAL,43.0,5.6,3.59,52.19
2026-09-07_1130,HAVELLS,23.0,0.75,2.79,26.54
2026-09-07_1130,HCLTECH,34.0,-1.95,1.58,33.63
2026-09-07_1130,HDFCAMC,23.0,0.94,5.1,29.04
2026-09-07_1130,HDFCBANK,312.0,71.43,78.96,462.39
2026-09-07_1130,HDFCLIFE,39.0,3.5,13.66,56.17
2026-09-07_1130,HEROMOTOCO,16.0,5.35,3.94,25.29
2026-09-07_1130,HINDALCO,51.0,2.87,5.65,59.52
2026-09-07_1130,HINDPETRO,14.0,-0.31,10.08,23.77
2026-09-07_1130,HINDUNILVR,56.0,14.44,6.24,76.68
2026-09-07_1130,HINDZINC,32.0,5.44,7.05,44.48
2026-09-07_1130,HYUNDAI,2.0,2.64,0.99,5.63
2026-09-07_1130,ICICIBANK,19.0,-26.82,14.0,6.18
2026-09-07_1130,ICICIGI,14.0,-0.73,3.0,16.27
2026-09-07_1130,ICICIPRULI,22.0,0.9,4.5,27.39
2026-09-07_1130,IDEA,53.0,-5.32,4.99,52.66
2026-09-07_1130,IDFCFIRSTB,8.0,-8.02,5.16,5.14
2026-09-07_1130,IEX,22.0,1.55,2.1,25.65
2026-09-07_1130,INDHOTEL,9.0,-0.62,2.6,10.98
2026-09-07_1130,INDIANB,8.0,5.35,3.0,16.35
2026-09-07_1130,INDIGO,22.0,1.62,6.77,30.39
2026-09-07_1130,INDUSINDBK,24.0,-2.31,-3.53,18.16
2026-09-07_1130,INDUSTOWER,23.0,6.99,5.13,35.12
2026-09-07_1130,INFY,94.0,-0.38,20.45,114.07
2026-09-07_1130,INOXWIND,41.0,7.57,-0.4,48.18
2026-09-07_1130,IOC,21.0,0.45,7.6,29.05
2026-09-07_1130,IREDA,66.0,2.01,14.5,82.51
2026-09-07_1130,IRFC,52.0,0.19,3.78,55.97
2026-09-07_1130,ITC,103.0,44.31,15.93,163.23
2026-09-07_1130,JINDALSTEL,14.0,0.31,2.79,17.1
2026-09-07_1130,JIOFIN,157.0,26.48,42.59,226.07
2026-09-07_1130,JSWENERGY,21.0,0.74,0.13,21.87
2026-09-07_1130,JSWSTEEL,9.0,-7.91,2.45,3.55
2026-09-07_1130,JUBLFOOD,20.0,-6.35,8.0,21.65
2026-09-07_1130,KALYANKJIL,12.0,1.06,-10.56,2.5
2026-09-07_1130,KAYNES,14.0,3.54,25.17,42.71
2026-09-07_1130,KEI,10.0,8.98,2.33,21.31
2026-09-07_1130,KFINTECH,14.0,2.73,0.11,16.84
2026-09-07_1130,KOTAKBANK,13.0,-8.8,0.7,4.9
2026-09-07_1130,KPITTECH,24.0,16.62,0.8,41.41
2026-09-07_1130,LAURUSLABS,7.0,-2.99,4.02,8.03
2026-09-07_1130,LICHSGFIN,17.0,-5.24,3.7,15.46
2026-09-07_1130,LICI,40.0,1.55,7.6,49.16
2026-09-07_1130,LODHA,8.0,3.42,-4.19,7.24
2026-09-07_1130,LT,63.0,12.11,14.41,89.51
2026-09-07_1130,LTF,17.0,-8.01,9.07,18.07
2026-09-07_1130,LTM,17.0,-5.48,5.88,17.41
2026-09-07_1130,LUPIN,14.0,0.87,14.08,28.94
2026-09-07_1130,M&M,34.0,-1.42,15.94,48.52
2026-09-07_1130,MAHABANK,3.0,3.47,-0.92,5.55
