reading,symbol,ltp
2026-09-07_1430,GODREJCP,865.45
2026-09-07_1430,GODREJPROP,1934.7
2026-09-07_1430,GRASIM,3309.7
2026-09-07_1430,GVT&D,4368.2
2026-09-07_1430,HAL,4890.2
2026-09-07_1430,HAVELLS,1130.6
2026-09-07_1430,HCLTECH,1263.8
2026-09-07_1430,HDFCAMC,2458.7
2026-09-07_1430,HDFCBANK,714.0
2026-09-07_1430,HDFCLIFE,541.05
2026-09-07_1430,HEROMOTOCO,5330.5
2026-09-07_1430,HINDALCO,1008.5
2026-09-07_1430,HINDPETRO,353.75
2026-09-07_1430,HINDUNILVR,1974.4
2026-09-07_1430,HINDZINC,593.85
2026-09-07_1430,HYUNDAI,2193.1
2026-09-07_1430,ICICIBANK,1434.6
2026-09-07_1430,ICICIGI,1507.6
2026-09-07_1430,ICICIPRULI,476.25
2026-09-07_1430,IDEA,15.64
2026-09-07_1430,IDFCFIRSTB,86.58
2026-09-07_1430,IEX,118.26
2026-09-07_1430,INDHOTEL,718.5
2026-09-07_1430,INDIANB,875.85
2026-09-07_1430,INDIGO,5018.0
2026-09-07_1430,INDUSINDBK,1007.1
2026-09-07_1430,INDUSTOWER,379.5
2026-09-07_1430,INFY,1094.1
2026-09-07_1430,INOXWIND,75.35
2026-09-07_1430,IOC,136.4
2026-09-07_1430,IREDA,108.65
2026-09-07_1430,IRFC,83.0
2026-09-07_1430,ITC,264.35
2026-09-07_1430,JIOFIN,235.99
2026-09-07_1430,JINDALSTEL,1150.0
2026-09-07_1430,JSWENERGY,536.55
2026-09-07_1430,JSWSTEEL,1315.2
2026-09-07_1430,JUBLFOOD,473.7
2026-09-07_1430,KALYANKJIL,590.6
2026-09-07_1430,KAYNES,3455.0
2026-09-07_1430,KEI,4681.0
2026-09-07_1430,KFINTECH,928.15
2026-09-07_1430,KOTAKBANK,426.25
2026-09-07_1430,KPITTECH,564.45
2026-09-07_1430,LAURUSLABS,1867.1
2026-09-07_1430,LICHSGFIN,559.5
2026-09-07_1430,LICI,412.55
2026-09-07_1430,LODHA,1196.5
2026-09-07_1430,LT,4015.4
2026-09-07_1430,LTF,314.05
2026-09-07_1430,LTM,4371.0
2026-09-07_1430,LUPIN,2117.0
2026-09-07_1430,M&M,3177.0
2026-09-07_1430,MAHABANK,85.49
2026-09-07_1430,MANAPPURAM,326.05
2026-09-07_1430,MANKIND,2325.0
2026-09-07_1430,MARICO,809.9
2026-09-07_1430,MARUTI,12820.0
2026-09-07_1430,MAXHEALTH,996.7
2026-09-07_1430,MAZDOCK,2461.0
2026-09-07_1430,MCX,3368.2
2026-09-07_1430,MFSL,1531.3
2026-09-07_1430,MIDCPNIFTY,14693.7
2026-09-07_1430,MOTHERSON,163.9
2026-09-07_1430,MOTILALOFS,1054.0
2026-09-07_1430,MPHASIS,2356.5
2026-09-07_1430,MUTHOOTFIN,2910.7
2026-09-07_1430,NAM-INDIA,1185.6
2026-09-07_1430,NATIONALUM,370.0
2026-09-07_1430,NAUKRI,1295.2
2026-09-07_1430,NBCC,86.33
2026-09-07_1430,NESTLEIND,1409.7
2026-09-07_1430,NHPC,75.86
2026-09-07_1430,NIFTYNXT50,72847.4
2026-09-07_1430,NMDC,84.1
2026-09-07_1430,NTPC,333.15
2026-09-07_1430,NYKAA,335.45
2026-09-07_1430,OBEROIRLTY,1868.8
2026-09-07_1430,OFSS,11815.0
2026-09-07_1430,OIL,488.4
2026-09-07_1430,ONGC,234.67
2026-09-07_1430,PAGEIND,35715.0
2026-09-07_1430,PATANJALI,341.65
2026-09-07_1430,PAYTM,1654.0
2026-09-07_1430,PERSISTENT,5520.0
2026-09-07_1430,PETRONET,290.65
2026-09-07_1430,PFC,355.55
2026-09-07_1430,PGEL,561.6
2026-09-07_1430,PHOENIXLTD,1924.6
2026-09-07_1430,PIDILITIND,1598.0
2026-09-07_1430,PIIND,2411.0
2026-09-07_1430,PNB,116.31
2026-09-07_1430,PNBHOUSING,1185.5
2026-09-07_1430,POLICYBZR,1795.8
2026-09-07_1430,POLYCAB,8240.0
2026-09-07_1430,POWERGRID,267.1
2026-09-07_1430,POWERINDIA,32050.0
2026-09-07_1430,PREMIERENE,992.0
2026-09-07_1430,PRESTIGE,1570.0
2026-09-07_1430,RADICO,4473.1
2026-09-07_1430,RBLBANK,417.75
2026-09-07_1430,RECLTD,318.0
2026-09-07_1430,RELIANCE,1315.5
2026-09-07_1430,RVNL,211.67
2026-09-07_1430,SAGILITY,46.24
2026-09-07_1430,SAIL,187.5
2026-09-07_1430,SBICARD,667.7
2026-09-07_1430,SBILIFE,1737.7
2026-09-07_1430,SBIN,1010.7
2026-09-07_1430,SENSEX,76624.65
2026-09-07_1430,SHREECEM,23660.0
2026-09-07_1430,SHRIRAMFIN,1039.1
2026-09-07_1430,SIEMENS,3937.4
2026-09-07_1430,SOLARINDS,21890.0
2026-09-07_1430,SONACOMS,789.2
2026-09-07_1430,SRF,2551.0
2026-09-07_1430,SUNPHARMA,1898.9
2026-09-07_1430,SUPREMEIND,3591.9
2026-09-07_1430,SUZLON,45.61
2026-09-07_1430,SWIGGY,278.1
2026-09-07_1430,TATACONSUM,1019.6
2026-09-07_1430,TATAELXSI,3490.5
2026-09-07_1430,TATAPOWER,365.95
2026-09-07_1430,TATASTEEL,186.47
2026-09-07_1430,TCS,2270.7
2026-09-07_1430,TECHM,1556.1
2026-09-07_1430,TIINDIA,2691.4
2026-09-07_1430,TITAN,4993.0
2026-09-07_1430,TMPV,309.7
2026-09-07_1430,TORNTPHARM,4908.0
2026-09-07_1430,TRENT,2807.4
2026-09-07_1430,TVSMOTOR,4157.7
2026-09-07_1430,ULTRACEMCO,11269.0
2026-09-07_1430,UNIONBANK,185.25
2026-09-07_1430,UNITDSPR,1442.1
2026-09-07_1430,UNOMINDA,1242.5
2026-09-07_1430,VBL,407.75
2026-09-07_1430,UPL,581.95
2026-09-07_1430,VEDL,270.2
2026-09-07_1430,VMM,103.91
2026-09-07_1430,VOLTAS,1178.9
2026-09-07_1430,WAAREEENER,2608.0
2026-09-07_1430,WIPRO,171.8
2026-09-07_1430,YESBANK,22.45
2026-09-07_1430,ETERNAL,323.25
2026-09-07_1430,ZYDUSLIFE,1158.6
