symbol,sector,LTP,fut_net(w1),call_net(wtd),put_net(wtd),NEW_NET,NEW_NET_prev,DIFF,fut_d,callW_d,putW_d,pos_col15,reconcile(NEW-col15),net_side,ban,fut_eligible,opt_veto,opt_reducing,in_book,book_lots,fut_score,opt_score,conviction,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
LTF,Financials,314.05,17.0,-8.17,8.89,17.71,18.07,-0.36,0.0,-0.16,-0.18,17.0,0.71,LONG,,,,N,,,-0.2273,-0.023,0.0758,18.07,,,,,,,,,,,,,,,,,,
LTM,IT,4371.0,18.0,-6.14,5.9,17.76,17.41,0.35,1.0,-0.66,0.02,16.0,1.76,LONG,,,,Y,,,-0.1111,-0.328,0.037,17.41,,,,,,,,,,,,,,,,,,
LUPIN,Pharma,2117.0,14.0,0.93,14.05,28.98,28.94,0.04,0.0,0.06,-0.03,28.0,0.98,LONG,,Y,Y,N,,,-0.1515,-0.945,0.0505,28.94,,,,,,,,,,,,,,,,,,
M&M,Auto,3177.0,33.0,-0.67,15.95,48.28,48.52,-0.24,-1.0,0.75,0.01,45.0,3.28,LONG,,,Y,N,,,0.8,-0.756,0.2667,48.52,,,,,,,,,,,,,,,,,,
MAHABANK,,85.49,4.0,4.3,-0.97,7.33,5.55,1.78,1.0,0.83,-0.05,8.0,-0.67,LONG,,,Y,N,,,0.0,-0.467,0.0,5.55,,,,,,,,,,,,,,,,,,
MANAPPURAM,Financials,326.05,17.0,3.72,4.0,24.72,18.82,5.9,-1.0,5.13,1.78,27.0,-2.28,LONG,,,Y,N,,,0.08,-0.881,0.0267,18.82,,,,,,,,,,,,,,,,,,
MANKIND,Pharma,2325.0,7.0,3.26,2.0,12.26,11.3,0.96,0.0,0.96,0.0,13.0,-0.74,LONG,,,Y,N,,,0.3,-0.824,0.1,11.3,,,,,,,,,,,,,,,,,,
MARICO,CD/FMCG,809.9,4.0,-0.0,0.0,4.0,3.07,0.93,0.0,0.93,0.0,4.0,0.0,LONG,,Y,,N,Y,22,-0.8182,0.249,0.2727,3.07,,,,,,,,,,,,,,,,,,
MARUTI,Auto,12820.0,36.0,38.02,5.85,79.87,81.18,-1.31,0.0,-0.85,-0.46,91.0,-11.13,LONG,,,,Y,,,1.0222,-0.97,0.3333,81.18,,,,,,,,,,,,,,,,,,
MAXHEALTH,Healthcare,996.7,11.0,-0.07,3.0,13.93,16.03,-2.1,-2.0,-1.97,1.87,18.0,-4.07,LONG,,Y,,Y,,,-0.2174,-0.469,0.0725,16.03,,,,,,,,,,,,,,,,,,
MAZDOCK,Defence,2461.0,30.0,5.76,2.51,38.28,40.15,-1.87,0.0,-1.82,-0.06,42.0,-3.72,LONG,,,Y,N,,,0.1351,-0.845,0.045,40.15,,,,,,,,,,,,,,,,,,
MCX,Financials,3368.2,8.0,6.53,-3.45,11.08,19.07,-7.99,-1.0,-4.17,-2.82,15.0,-3.92,LONG,,,,Y,,,0.25,-0.267,0.0833,19.07,,,,,,,,,,,,,,,,,,
MFSL,Financials,1531.3,5.0,1.7,1.0,7.7,6.72,0.98,0.0,0.98,0.0,8.0,-0.3,LONG,,,,N,,,0.0,-0.718,0.0,6.72,,,,,,,,,,,,,,,,,,
MIDCPNIFTY,INDEX,14693.7,6.0,5.4,-2.35,9.05,4.4,4.65,0.0,3.61,1.04,9.0,0.05,LONG,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,
MOTHERSON,Auto Anc.,163.9,2.0,5.08,3.48,10.56,11.57,-1.01,-2.0,1.02,-0.03,14.0,-3.44,LONG,,,Y,N,,,0.5556,-0.871,0.1852,11.57,,,,,,,,,,,,,,,,,,
MOTILALOFS,,1054.0,2.0,0.74,0.66,3.4,0.2,3.2,2.0,1.01,0.18,4.0,-0.6,LONG,,,,N,,,-0.3333,-0.466,0.1111,0.2,,,,,,,,,,,,,,,,,,
MPHASIS,IT,2356.5,14.0,-6.48,3.19,10.71,8.63,2.08,0.0,1.95,0.12,10.0,0.71,LONG,,,,N,,,0.25,-0.74,0.0833,8.63,,,,,,,,,,,,,,,,,,
MUTHOOTFIN,Financials,2910.7,18.0,3.44,4.24,25.68,24.81,0.87,0.0,0.0,0.88,32.0,-6.32,LONG,,,Y,N,,,3.0,-0.85,0.3333,24.81,,,,,,,,,,,,,,,,,,
NAM-INDIA,,1185.6,0.0,-1.33,2.0,0.67,-0.9,1.57,0.0,1.57,0.0,1.0,-0.33,LONG,,,,N,,,2.0,-0.216,0.3333,-0.9,,,,,,,,,,,,,,,,,,
NATIONALUM,Metals,370.0,27.0,0.33,1.65,28.98,28.18,0.8,2.0,-0.18,-1.01,32.0,-3.02,LONG,,,,Y,,,0.3913,-0.221,0.1304,28.18,,,,,,,,,,,,,,,,,,
NAUKRI,IT,1295.2,2.0,3.57,-0.65,4.92,5.69,-0.77,0.0,-0.72,-0.05,10.0,-5.08,LONG,,,,Y,,,3.0,-0.427,0.3333,5.69,,,,,,,,,,,,,,,,,,
NBCC,E&C,86.33,25.0,0.45,2.0,27.45,27.5,-0.05,0.0,-0.05,0.0,29.0,-1.55,LONG,,Y,,N,,,-0.1714,-0.749,0.0571,27.5,,,,,,,,,,,,,,,,,,
NESTLEIND,CD/FMCG,1409.7,7.0,1.4,2.0,10.4,11.26,-0.86,0.0,0.03,-0.88,11.0,-0.6,LONG,,,Y,N,,,-0.1538,-0.751,0.0513,11.26,,,,,,,,,,,,,,,,,,
NHPC,Power,75.86,16.0,1.66,2.93,20.59,19.94,0.65,0.0,0.04,0.62,21.0,-0.41,LONG,,,,Y,,,0.0,-0.824,0.0,19.94,,,,,,,,,,,,,,,,,,
NIFTY,INDEX,23890.0,257.0,8.27,360.13,625.4,714.7,-89.3,4.0,40.78,-134.07,621.0,4.4,LONG,,,,,,,,,,714.7,,,,,,,,,,,,,,,,,,
NIFTYNXT50,INDEX,72847.4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LONG,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
NMDC,Metals,84.1,36.0,26.66,-1.77,60.89,55.62,5.27,0.0,3.26,2.01,74.0,-13.11,LONG,,,Y,N,,,0.2982,-0.788,0.0994,55.62,,,,,,,,,,,,,,,,,,
NTPC,Power,333.15,42.0,19.79,7.48,69.28,67.46,1.82,0.0,1.8,0.01,75.0,-5.72,LONG,,,Y,N,,,0.087,-0.96,0.029,67.46,,,,,,,,,,,,,,,,,,
NYKAA,CD/FMCG,335.45,8.0,2.88,0.09,10.97,10.83,0.14,-1.0,1.14,0.0,12.0,-1.03,LONG,,,,N,,,-0.0769,-0.661,0.0256,10.83,,,,,,,,,,,,,,,,,,
OBEROIRLTY,Real Estate,1868.8,13.0,6.84,0.97,20.81,21.84,-1.03,0.0,-1.04,0.02,23.0,-2.19,LONG,,,,Y,,,0.7692,-0.847,0.2564,21.84,,,,,,,,,,,,,,,,,,
OFSS,IT,11815.0,15.0,-1.46,2.27,15.8,17.62,-1.82,0.0,-2.87,1.05,16.0,-0.2,LONG,,,,Y,,,0.0,-0.001,0.0,17.62,,,,,,,,,,,,,,,,,,
OIL,Oil&Gas,488.4,2.0,-1.0,0.2,1.2,1.19,0.01,0.0,0.0,0.01,2.0,-0.8,LONG,,,,N,,,-0.6,0.302,0.2,1.19,,,,,,,,,,,,,,,,,,
ONGC,Oil&Gas,234.67,19.0,8.01,11.14,38.15,39.08,-0.93,0.0,-0.89,-0.04,41.0,-2.85,LONG,,,Y,N,,,-0.0682,-0.943,0.0227,39.08,,,,,,,,,,,,,,,,,,
PAGEIND,CD/FMCG,35715.0,14.0,2.85,1.8,18.64,18.76,-0.12,0.0,-0.18,0.07,20.0,-1.36,LONG,,,Y,N,,,0.1111,-0.818,0.037,18.76,,,,,,,,,,,,,,,,,,
PATANJALI,CD/FMCG,341.65,15.0,4.68,2.06,21.75,21.78,-0.03,0.0,-0.04,0.01,24.0,-2.25,LONG,,,Y,N,,,0.0,-0.837,0.0,21.78,,,,,,,,,,,,,,,,,,
PAYTM,Financials,1654.0,10.0,5.93,-4.1,11.82,14.24,-2.42,-1.0,-0.79,-0.62,13.0,-1.18,LONG,,,,N,,,1.6,0.11,0.3699,14.24,,,,,,,,,,,,,,,,,,
PERSISTENT,IT,5520.0,21.0,10.86,5.11,36.97,35.2,1.77,0.0,0.39,1.38,42.0,-5.03,LONG,,,,N,,,0.5556,-0.238,0.1852,35.2,,,,,,,,,,,,,,,,,,
PETRONET,Oil&Gas,290.65,2.0,-0.51,0.21,1.7,2.76,-1.06,0.0,-0.11,-0.95,3.0,-1.3,LONG,,,,Y,,,-0.25,0.359,0.0833,2.76,,,,,,,,,,,,,,,,,,
PFC,PSU,355.55,66.0,10.15,13.76,89.91,91.51,-1.6,-1.0,-0.56,-0.03,92.0,-2.09,LONG,,,,Y,,,-0.08,-0.962,0.0267,91.51,,,,,,,,,,,,,,,,,,
PGEL,Mfg. CD,561.6,13.0,0.71,0.91,14.62,14.48,0.14,0.0,0.09,0.05,15.0,-0.38,LONG,,Y,,N,,,-0.2105,-0.616,0.0702,14.48,,,,,,,,,,,,,,,,,,
PHOENIXLTD,,1924.6,1.0,-0.76,1.0,1.24,1.27,-0.03,0.0,-0.03,0.0,1.0,0.24,LONG,,,,N,,,-0.75,-0.227,0.25,1.27,,,,,,,,,,,,,,,,,,
PIDILITIND,CD/FMCG,1598.0,4.0,-1.76,1.0,3.24,4.22,-0.98,0.0,0.02,-1.0,3.0,0.24,LONG,,,,Y,,,0.5,0.09,0.1667,4.22,,,,,,,,,,,,,,,,,,
PIIND,Chemical,2411.0,15.0,2.39,19.93,37.32,38.4,-1.08,-1.0,0.02,-0.11,40.0,-2.68,LONG,,,Y,N,,,0.0,-0.952,0.0,38.4,,,,,,,,,,,,,,,,,,
PNB,PSU BANK,116.31,32.0,15.32,0.81,48.12,45.34,2.78,0.0,2.77,0.02,44.0,4.12,LONG,,,Y,N,,,-0.102,-0.87,0.034,45.34,,,,,,,,,,,,,,,,,,
PNBHOUSING,Financials,1185.5,1.0,4.78,1.57,7.35,7.16,0.19,0.0,0.25,-0.06,8.0,-0.65,LONG,,,Y,N,,,7.0,-0.855,0.3333,7.16,,,,,,,,,,,,,,,,,,
POLICYBZR,Financials,1795.8,3.0,2.36,2.92,8.28,3.83,4.45,3.0,-0.32,1.78,10.0,-1.72,LONG,,,Y,N,,,0.25,-0.787,0.0833,3.83,,,,,,,,,,,,,,,,,,
POLYCAB,Electronics,8240.0,22.0,5.07,7.33,34.4,33.01,1.39,0.0,1.35,0.03,41.0,-6.6,LONG,,,Y,N,,,1.1579,-0.921,0.3333,33.01,,,,,,,,,,,,,,,,,,
POWERGRID,PSU,267.1,20.0,3.79,8.11,31.9,33.66,-1.76,1.0,-1.81,-0.95,33.0,-1.1,LONG,,Y,,Y,,,-0.175,-0.925,0.0583,33.66,,,,,,,,,,,,,,,,,,
POWERINDIA,,32050.0,8.0,10.12,1.0,19.12,20.66,-1.54,0.0,-1.54,0.0,22.0,-2.88,LONG,,,,Y,,,0.5714,-0.894,0.1905,20.66,,,,,,,,,,,,,,,,,,
PREMIERENE,,992.0,8.0,2.6,1.1,11.7,11.3,0.4,1.0,-0.63,0.03,14.0,-2.3,LONG,,,,Y,,,3.6667,-0.742,0.3333,11.3,,,,,,,,,,,,,,,,,,
PRESTIGE,Real Estate,1570.0,5.0,-0.57,4.12,8.55,8.27,0.28,0.0,0.28,0.0,10.0,-1.45,LONG,,,Y,N,,,11.0,-0.483,0.3333,8.27,,,,,,,,,,,,,,,,,,
RADICO,,4473.1,2.0,0.0,0.0,2.0,1.36,0.64,0.0,0.64,0.0,2.0,0.0,LONG,,,,Y,,,-0.8,0.0,0.2667,1.36,,,,,,,,,,,,,,,,,,
RBLBANK,Pvt Bank,417.75,6.0,5.11,0.33,11.44,7.82,3.62,0.0,2.68,0.94,13.0,-1.56,LONG,,,Y,N,,,0.0833,-0.827,0.0278,7.82,,,,,,,,,,,,,,,,,,
RECLTD,PSU,318.0,61.0,7.97,8.25,77.21,78.3,-1.09,-1.0,-0.07,0.0,79.0,-1.79,LONG,,,Y,N,,,-0.0247,-0.942,0.0082,78.3,,,,,,,,,,,,,,,,,,
RELIANCE,Oil&Gas,1315.5,174.0,10.68,81.7,266.38,258.76,7.62,3.0,8.29,-3.66,264.0,2.38,LONG,,Y,Y,N,,,-0.2605,-0.99,0.0868,258.76,,,,,,,,,,,,,,,,,,
RVNL,E&C,211.67,69.0,-1.59,5.86,73.26,70.73,2.53,3.0,-0.46,0.0,70.0,3.26,LONG,,Y,,Y,,,-0.2857,-0.921,0.0952,70.73,,,,,,,,,,,,,,,,,,
SAGILITY,,46.24,8.0,4.2,0.07,12.27,12.73,-0.46,0.0,-0.41,-0.05,14.0,-1.73,LONG,,,Y,N,,,0.0,-0.754,0.0,12.73,,,,,,,,,,,,,,,,,,
SAIL,Metals,187.5,13.0,-2.0,-1.0,10.0,10.04,-0.04,0.0,0.0,-0.04,10.0,0.0,LONG,Y,Y,,N,,,-0.5238,0.758,0.4273,10.04,,,,,,,,,,,,,,,,,,
SBICARD,Financials,667.7,13.0,-2.71,5.2,15.49,15.09,0.4,-1.0,1.53,-0.13,16.0,-0.51,LONG,,,Y,N,,,0.7778,-0.451,0.2593,15.09,,,,,,,,,,,,,,,,,,
SBILIFE,Financials,1737.7,8.0,3.19,0.8,11.99,9.99,2.0,1.0,0.93,0.07,12.0,-0.01,LONG,,,Y,N,,,0.7143,-0.783,0.2381,9.99,,,,,,,,,,,,,,,,,,
SBIN,PSU BANK,1010.7,104.0,18.36,17.31,139.67,133.29,6.38,1.0,6.04,-0.65,126.0,13.67,LONG,,,Y,N,,,0.1455,-0.976,0.0485,133.29,,,,,,,,,,,,,,,,,,
SENSEX,INDEX,76624.65,7.0,-441.72,-90.96,-525.68,-497.07,-28.61,0.0,25.45,-54.06,-538.0,12.32,SHORT,,,,,,,,,,-497.07,,,,,,,,,,,,,,,,,,
SHREECEM,CEMENT,23660.0,6.0,1.85,2.0,9.85,9.93,-0.08,0.0,-0.08,0.0,11.0,-1.15,LONG,,,Y,N,,,0.2222,-0.775,0.0741,9.93,,,,,,,,,,,,,,,,,,
SHRIRAMFIN,Financials,1039.1,27.0,-1.23,5.88,31.66,30.59,1.07,1.0,0.96,-0.9,25.0,6.66,LONG,,,Y,N,,,2.5714,-0.76,0.3333,30.59,,,,,,,,,,,,,,,,,,
SIEMENS,E&C,3937.4,4.0,3.94,0.87,8.8,12.55,-3.75,-3.0,-0.8,0.06,15.0,-6.2,LONG,,,,N,,,0.5,-0.623,0.1667,12.55,,,,,,,,,,,,,,,,,,
SOLARINDS,Defence,21890.0,1.0,6.66,-2.0,5.67,1.72,3.95,2.0,0.5,1.45,5.0,0.67,LONG,,Y,Y,N,,,-0.7826,-0.527,0.2609,1.72,,,,,,,,,,,,,,,,,,
SONACOMS,Auto Anc.,789.2,5.0,1.72,2.63,9.35,10.38,-1.03,-1.0,-0.08,0.05,9.0,0.35,LONG,,,Y,N,,,5.5,-0.768,0.3333,10.38,,,,,,,,,,,,,,,,,,
SRF,Chemical,2551.0,37.0,-0.72,1.36,37.63,37.88,-0.25,-1.0,0.77,-0.01,39.0,-1.37,LONG,,Y,,N,Y,10,-0.4265,0.605,0.1422,37.88,,,,,,,,,,,,,,,,,,
SUNPHARMA,Pharma,1898.9,17.0,2.35,3.0,22.35,21.38,0.97,0.0,0.95,0.02,23.0,-0.65,LONG,,,Y,N,,,-0.3611,-0.818,0.1204,21.38,,,,,,,,,,,,,,,,,,
SUPREMEIND,Mfg. CD,3591.9,8.0,5.27,0.15,13.43,12.23,1.2,0.0,1.17,0.02,17.0,-3.57,LONG,,Y,Y,N,,,-0.1905,-0.777,0.0635,12.23,,,,,,,,,,,,,,,,,,
SUZLON,Power,45.61,59.0,10.39,1.21,70.6,71.15,-0.55,1.0,0.45,-2.0,78.0,-7.4,LONG,,,,Y,,,-0.1034,-0.904,0.0345,71.15,,,,,,,,,,,,,,,,,,
SWIGGY,,278.1,30.0,6.21,3.49,39.7,36.02,3.68,2.0,-0.28,1.96,46.0,-6.3,LONG,,,Y,N,,,0.2105,-0.869,0.0702,36.02,,,,,,,,,,,,,,,,,,
TATACONSUM,CD/FMCG,1019.6,13.0,6.65,3.65,23.31,19.62,3.69,1.0,1.83,0.85,26.0,-2.69,LONG,,,Y,N,,,1.1667,-0.904,0.3333,19.62,,,,,,,,,,,,,,,,,,
TATAELXSI,IT,3490.5,23.0,4.52,2.16,29.67,28.9,0.77,1.0,-0.28,0.05,36.0,-6.33,LONG,,,Y,N,,,0.0588,-0.845,0.0196,28.9,,,,,,,,,,,,,,,,,,
TATAPOWER,Power,365.95,48.0,-4.61,6.03,49.43,48.44,0.99,0.0,1.0,-0.02,48.0,1.43,LONG,,Y,,N,,,-0.1579,-0.186,0.0526,48.44,,,,,,,,,,,,,,,,,,
TATASTEEL,Metals,186.47,53.0,31.66,11.11,95.77,91.14,4.63,0.0,3.69,0.95,99.0,-3.23,LONG,,,Y,N,,,0.5469,-0.975,0.1823,91.14,,,,,,,,,,,,,,,,,,
TCS,IT,2270.7,92.0,3.44,9.43,104.87,100.17,4.7,1.0,2.43,1.27,101.0,3.87,LONG,,,Y,N,,,0.01,-0.917,0.0033,100.17,,,,,,,,,,,,,,,,,,
TECHM,IT,1556.1,11.0,-9.06,2.37,4.31,1.0,3.31,0.0,3.6,-0.29,0.0,4.31,LONG,,,,N,,,-1.0,0.019,0.3398,1.0,,,,,,,,,,,,,,,,,,
TIINDIA,E&C,2691.4,2.0,1.16,1.0,4.16,4.27,-0.11,0.0,-0.11,0.0,6.0,-1.84,LONG,,,,N,,,1.0,-0.681,0.3333,4.27,,,,,,,,,,,,,,,,,,
TITAN,CD/FMCG,4993.0,0.0,1.61,1.89,3.49,5.53,-2.04,-1.0,-1.05,0.03,6.0,-2.51,LONG,,,,Y,,,2.5,-0.667,0.3333,5.53,,,,,,,,,,,,,,,,,,
TMPV,AUTO,309.7,91.0,8.87,26.2,126.07,131.67,-5.6,-1.0,-1.12,-3.48,109.0,17.07,LONG,,Y,,Y,,,-0.1742,-0.976,0.0581,131.67,,,,,,,,,,,,,,,,,,
TORNTPHARM,Pharma,4908.0,4.0,3.06,0.87,7.93,7.54,0.39,0.0,0.39,0.0,9.0,-1.07,LONG,,,,N,,,2.0,-0.743,0.3333,7.54,,,,,,,,,,,,,,,,,,
TRENT,CD/FMCG,2807.4,42.0,3.64,12.11,57.74,58.74,-1.0,0.0,-0.21,-0.78,60.0,-2.26,LONG,,Y,,Y,,,-0.2,-0.941,0.0667,58.74,,,,,,,,,,,,,,,,,,
TVSMOTOR,Auto,4157.7,17.0,4.13,2.4,23.53,25.34,-1.81,0.0,-0.85,-0.96,25.0,-1.47,LONG,,,,Y,,,1.2727,-0.873,0.3333,25.34,,,,,,,,,,,,,,,,,,
ULTRACEMCO,CEMENT,11269.0,9.0,5.25,0.0,14.26,12.56,1.7,0.0,1.85,-0.16,16.0,-1.74,LONG,,,Y,N,,,-0.1111,-0.815,0.037,12.56,,,,,,,,,,,,,,,,,,
UNIONBANK,PSU BANK,185.25,14.0,1.0,3.31,18.3,17.53,0.77,-1.0,0.96,0.82,15.0,3.3,LONG,,Y,Y,N,,,-0.5,-0.804,0.1667,17.53,,,,,,,,,,,,,,,,,,
UNITDSPR,CD/FMCG,1442.1,3.0,-1.88,5.07,6.2,5.46,0.74,0.0,0.62,0.11,8.0,-1.8,LONG,,,Y,N,,,1.6667,-0.268,0.3333,5.46,,,,,,,,,,,,,,,,,,
UNOMINDA,Auto Anc.,1242.5,9.0,2.24,1.1,12.33,11.22,1.11,0.0,1.12,0.0,14.0,-1.67,LONG,,,,N,,,0.75,-0.632,0.25,11.22,,,,,,,,,,,,,,,,,,
UPL,Chemical,581.95,29.0,2.2,7.23,38.43,37.99,0.44,1.0,0.35,-0.91,38.0,0.43,LONG,,Y,,Y,Y,10,-0.4795,-0.903,0.1598,37.99,,,,,,,,,,,,,,,,,,
VBL,CD/FMCG,407.75,40.0,9.53,9.48,59.01,58.35,0.66,0.0,0.68,-0.01,72.0,-12.99,LONG,,,Y,N,,,0.8462,-0.94,0.2821,58.35,,,,,,,,,,,,,,,,,,
VEDL,Metals,270.2,42.0,16.03,4.01,62.04,62.15,-0.11,0.0,0.77,-0.88,75.0,-12.96,LONG,,,,Y,,,-0.1279,-0.921,0.0426,62.15,,,,,,,,,,,,,,,,,,
VMM,,103.91,14.0,3.32,1.2,18.52,18.06,0.46,0.0,-0.46,0.91,25.0,-6.48,LONG,,,Y,N,,,0.0,-0.766,0.0,18.06,,,,,,,,,,,,,,,,,,
VOLTAS,CD/FMCG,1178.9,32.0,3.95,11.11,47.06,46.01,1.05,1.0,-0.74,0.79,55.0,-7.94,LONG,,,Y,N,,,0.0185,-0.927,0.0062,46.01,,,,,,,,,,,,,,,,,,
WAAREEENER,,2608.0,34.0,4.7,6.48,45.18,44.45,0.73,1.0,-0.41,0.14,49.0,-3.82,LONG,,,Y,N,,,-0.0926,-0.911,0.0309,44.45,,,,,,,,,,,,,,,,,,
WIPRO,IT,171.8,88.0,-7.49,25.22,105.73,101.24,4.49,2.0,2.51,-0.03,99.0,6.73,LONG,,,Y,N,,,0.1928,-0.756,0.0643,101.24,,,,,,,,,,,,,,,,,,
YESBANK,PSU BANK,22.45,52.0,4.46,10.88,67.34,64.68,2.66,0.0,0.8,1.86,71.0,-3.66,LONG,,Y,Y,N,,,-0.1548,-0.922,0.0516,64.68,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,Pharma,1158.6,6.0,1.92,0.53,8.45,8.21,0.24,-1.0,1.86,-0.62,7.0,1.45,LONG,,,,Y,,,1.3333,-0.699,0.3333,8.21,,,,,,,,,,,,,,,,,,
