symbol,sector,LTP,fut_net(w1),call_net(wtd),put_net(wtd),NEW_NET,NEW_NET_prev,DIFF,fut_d,callW_d,putW_d,pos_col15,reconcile(NEW-col15),net_side,ban,fut_eligible,opt_veto,opt_reducing,in_book,book_lots,fut_score,opt_score,conviction,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
FEDERALBNK,PSU BANK,342.65,10.0,-1.62,11.54,19.92,21.36,-1.44,0.0,-0.41,-1.03,21.0,-1.08,LONG,,,Y,,,,1.1,-0.628,0.3333,21.36,,,,,,,,,,,,,,,,,,
FINNIFTY,INDEX,26076.0,-1.0,-0.39,0.98,-0.41,-0.41,0.0,0.0,0.0,0.0,0.0,-0.41,FLAT,,,,,,,,,,-0.41,,,,,,,,,,,,,,,,,,
FORCEMOT,,17634.0,15.0,-1.92,1.0,14.08,12.74,1.34,1.0,0.34,0.0,12.0,2.08,LONG,,,,,,,0.0,-0.128,0.0,12.74,,,,,,,,,,,,,,,,,,
FORTIS,INDEX,901.85,10.0,-0.45,0.0,9.55,10.57,-1.02,-1.0,-0.02,0.0,11.0,-1.45,LONG,,,,,,,0.375,0.384,0.125,10.57,,,,,,,,,,,,,,,,,,
GAIL,Oil&Gas,177.29,27.0,7.61,1.51,36.12,36.81,-0.69,2.0,-2.52,-0.17,36.0,0.12,LONG,,Y,Y,,,,-0.1628,-0.892,0.0543,36.81,,,,,,,,,,,,,,,,,,
GLENMARK,Pharma,2464.0,21.0,2.1,0.16,23.27,24.28,-1.01,-2.0,0.98,0.0,25.0,-1.73,LONG,,,,,,,-0.3902,-0.395,0.1301,24.28,,,,,,,,,,,,,,,,,,
GMRAIRPORT,Logistics,96.81,19.0,9.96,3.48,32.45,34.6,-2.15,-1.0,-1.14,-0.01,39.0,-6.55,LONG,,,Y,,,,0.1471,-0.914,0.049,34.6,,,,,,,,,,,,,,,,,,
GODFRYPHLP,,2036.5,6.0,-1.04,0.0,4.96,4.98,-0.02,0.0,-0.02,0.0,4.0,0.96,LONG,,,,,,,-0.5556,0.415,0.1852,4.98,,,,,,,,,,,,,,,,,,
GODREJCP,CD/FMCG,871.7,19.0,1.66,-0.15,20.51,23.6,-3.09,0.0,-1.17,-1.92,21.0,-0.49,LONG,,,,,,,0.0,-0.65,0.0,23.6,,,,,,,,,,,,,,,,,,
GODREJPROP,Real Estate,1953.4,26.0,-2.13,4.67,28.54,31.21,-2.67,0.0,-2.55,-0.11,30.0,-1.46,LONG,,,,,,,-0.1429,-0.185,0.0476,31.21,,,,,,,,,,,,,,,,,,
GRASIM,CD/FMCG,3323.0,9.0,1.19,1.03,11.22,10.4,0.82,0.0,-0.03,0.85,11.0,0.22,LONG,,Y,,,Y,10,-0.5769,-0.682,0.1923,10.4,,,,,,,,,,,,,,,,,,
GVT&D,,4369.1,13.0,3.51,0.51,17.02,17.02,0.0,0.0,-0.01,0.0,14.0,3.02,LONG,,Y,Y,,,,-0.1765,-0.835,0.0588,17.02,,,,,,,,,,,,,,,,,,
HAL,Defence,4904.0,43.0,5.6,3.59,52.19,51.34,0.85,0.0,0.89,-0.04,55.0,-2.81,LONG,,,Y,,,,0.2222,-0.898,0.0741,51.34,,,,,,,,,,,,,,,,,,
HAVELLS,Electronics,1141.0,23.0,0.75,2.79,26.54,28.65,-2.11,-1.0,-0.17,-0.94,23.0,3.54,LONG,,,Y,,,,0.15,-0.82,0.05,28.65,,,,,,,,,,,,,,,,,,
